model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gpt-4.1,113,0.1729761211415259,11.0,7.0,129.0,13.0,0.6,1.0,1.1,18.0,31.0,192.0,147.0
gpt-4.1,114,0.2141756548536209,17.0,7.0,132.0,21.0,0.6,1.0,1.1,29.0,45.0,139.0,156.0
gpt-4.1,115,0.2076372315035799,19.0,5.0,139.0,27.0,0.6,1.0,1.1,22.0,51.0,145.0,163.0
gpt-4.1,117,0.1871455576559546,11.0,7.0,112.0,17.0,0.6,1.0,1.1,23.0,35.0,115.0,130.0
gpt-4.1,118,0.1432337434094903,13.0,6.0,177.0,18.0,0.6,1.0,1.1,21.0,37.0,195.0,196.0
gpt-4.1,119,0.1099000908265213,11.0,2.0,173.0,23.0,0.6,1.0,1.1,22.0,36.0,186.0,186.0
gpt-4.1,120,0.2111592111592111,17.0,9.0,130.0,34.0,0.6,1.0,1.1,28.0,60.0,159.0,156.0
gpt-4.1,121,0.1526156506701253,16.0,3.0,174.0,22.0,0.6,1.0,1.1,27.0,41.0,192.0,193.0
gpt-4.1,122,0.1924119241192411,15.0,5.0,128.0,21.0,0.6,1.0,1.1,21.0,41.0,128.0,148.0
gpt-4.1,123,0.2397302268546904,19.0,1.0,105.0,19.0,0.6,1.0,1.1,22.0,39.0,108.0,125.0
gpt-4.1,124,0.2437764208548614,21.0,9.0,118.0,43.0,0.6,1.0,1.1,32.0,73.0,187.0,148.0
gpt-4.1,125,0.2373485388453313,15.0,3.0,86.0,21.0,0.6,1.0,1.1,23.0,39.0,89.0,104.0
gpt-4.1,126,0.1981776765375854,19.0,5.0,143.0,33.0,0.6,1.0,1.1,28.0,57.0,185.0,167.0
gpt-4.1,127,0.1782779564130046,20.0,9.0,203.0,27.0,0.6,1.0,1.1,28.0,56.0,247.0,232.0
gpt-4.1,128,0.2171405026782035,17.0,17.0,145.0,45.0,0.6,1.0,1.1,40.0,79.0,178.0,179.0
gpt-4.1,129,0.1443240159726183,11.0,3.0,132.0,18.0,0.6,1.0,1.1,24.0,32.0,106.0,146.0
gpt-4.1,130,0.238881247134342,20.0,11.0,124.0,42.0,0.6,1.0,1.1,35.0,73.0,186.0,155.0
gpt-4.1,131,0.2367199587416193,18.0,9.0,120.0,28.0,0.6,1.0,1.1,27.0,55.0,143.0,147.0
gpt-4.1,132,0.1977818853974122,24.0,5.0,180.0,37.0,0.6,1.0,1.1,32.0,66.0,310.0,209.0
gpt-4.1,133,0.2307692307692307,18.0,9.0,119.0,34.0,0.6,1.0,1.1,32.0,61.0,143.0,146.0
gpt-4.1,134,0.1758972086840939,16.0,7.0,163.0,23.0,0.6,1.0,1.1,24.0,46.0,211.0,186.0
gpt-4.1,135,0.182189913675602,14.0,11.0,153.0,27.0,0.6,1.0,1.1,35.0,52.0,161.0,178.0
gpt-4.1,136,0.2427093132643462,17.0,16.0,114.0,47.0,0.6,1.0,1.1,44.0,80.0,178.0,147.0
gpt-4.1,137,0.2421833598304187,19.0,7.0,119.0,24.0,0.6,1.0,1.1,31.0,50.0,143.0,145.0
gpt-4.1,138,0.2526964560862865,12.0,8.0,74.0,23.0,0.6,1.0,1.1,32.0,43.0,107.0,94.0
gpt-4.1,139,0.1219204042956411,8.0,3.0,126.0,13.0,0.6,1.0,1.1,19.0,24.0,140.0,137.0
gpt-4.1,140,0.2728266812465828,20.0,9.0,103.0,30.0,0.6,1.0,1.1,32.0,59.0,156.0,132.0
gpt-4.1,141,0.3046709129511677,21.0,14.0,97.0,34.0,0.6,1.0,1.1,41.0,69.0,182.0,132.0
gpt-4.1,143,0.2541613316261203,32.0,14.0,184.0,49.0,0.6,1.0,1.1,46.0,95.0,364.0,230.0
gpt-4.1,144,0.2884371029224905,28.0,11.0,124.0,44.0,0.6,1.0,1.1,47.0,83.0,176.0,163.0
gpt-4.1,145,0.2674532940019665,25.0,4.0,114.0,35.0,0.6,1.0,1.1,37.0,64.0,169.0,143.0
gpt-4.1,146,0.3484162895927601,33.0,10.0,108.0,36.0,0.6,1.0,1.1,42.0,79.0,174.0,151.0
gpt-4.1,147,0.1620111731843575,13.0,8.0,145.0,35.0,0.6,1.0,1.1,40.0,56.0,184.0,166.0
gpt-4.1,148,0.2083897158322056,11.0,8.0,105.0,12.0,0.6,1.0,1.1,20.0,31.0,75.0,124.0
gpt-4.1,149,0.1989044847654912,23.0,11.0,180.0,54.0,0.6,1.0,1.1,42.0,88.0,255.0,214.0
gpt-4.1,150,0.257913855734302,21.0,7.0,119.0,24.0,0.6,1.0,1.1,35.0,52.0,135.0,147.0
gpt-4.1,151,0.2025222551928783,24.0,6.0,181.0,34.0,0.6,1.0,1.1,38.0,64.0,256.0,211.0
gpt-4.1,152,0.2842535787321064,19.0,16.0,108.0,32.0,0.6,1.0,1.1,33.0,67.0,176.0,143.0
gpt-4.1,153,0.2792162351294611,15.0,9.0,79.0,24.0,0.6,1.0,1.1,27.0,48.0,75.0,103.0
gpt-4.1-mini,100,0.2511848341232227,21.0,10.0,132.0,26.0,0.6,1.0,1.1,36.0,57.0,153.0,163.0
gpt-4.1-mini,101,0.157014157014157,10.0,4.0,121.0,10.0,0.6,1.0,1.1,14.0,24.0,155.0,135.0
gpt-4.1-mini,102,0.2051756007393715,15.0,3.0,111.0,18.0,0.6,1.0,1.1,15.0,36.0,130.0,129.0
gpt-4.1-mini,103,0.2021276595744681,10.0,6.0,93.0,12.0,0.6,1.0,1.1,13.0,28.0,79.0,109.0
gpt-4.1-mini,104,0.3440860215053763,16.0,0.0,53.0,8.0,0.6,1.0,1.1,14.0,24.0,54.0,69.0
gpt-4.1-mini,105,0.1771356783919598,13.0,2.0,117.0,14.0,0.6,1.0,1.1,14.0,29.0,129.0,132.0
gpt-4.1-mini,107,0.3163691606532472,29.0,23.0,135.0,45.0,0.6,1.0,1.1,45.0,97.0,212.0,187.0
gpt-4.1-mini,108,0.1608391608391608,11.0,3.0,118.0,14.0,0.6,1.0,1.1,20.0,28.0,127.0,132.0
gpt-4.1-mini,109,0.2455327597617472,18.0,1.0,87.0,27.0,0.6,1.0,1.1,21.0,46.0,99.0,106.0
gpt-4.1-mini,110,0.288135593220339,17.0,0.0,64.0,20.0,0.6,1.0,1.1,17.0,37.0,70.0,81.0
gpt-4.1-mini,111,0.2180818570555895,14.0,7.0,113.0,15.0,0.6,1.0,1.1,25.0,36.0,105.0,134.0
gpt-4.1-mini,112,0.1253101736972705,9.0,2.0,129.0,12.0,0.6,1.0,1.1,21.0,23.0,204.0,140.0
gpt-4.1-mini,113,0.1899766899766899,13.0,6.0,127.0,12.0,0.6,1.0,1.1,18.0,31.0,177.0,146.0
gpt-4.1-mini,114,0.1767337807606264,17.0,5.0,161.0,23.0,0.6,1.0,1.1,29.0,45.0,165.0,183.0
gpt-4.1-mini,115,0.2069892473118279,22.0,2.0,150.0,27.0,0.6,1.0,1.1,22.0,51.0,143.0,174.0
gpt-4.1-mini,117,0.1747052518756699,13.0,6.0,138.0,16.0,0.6,1.0,1.1,23.0,35.0,133.0,157.0
gpt-4.1-mini,118,0.1658240647118301,12.0,8.0,148.0,17.0,0.6,1.0,1.1,21.0,37.0,111.0,168.0
gpt-4.1-mini,119,0.1709844559585492,11.0,4.0,107.0,21.0,0.6,1.0,1.1,22.0,36.0,106.0,122.0
gpt-4.1-mini,120,0.2118226600985221,16.0,10.0,126.0,34.0,0.6,1.0,1.1,28.0,60.0,220.0,152.0
gpt-4.1-mini,121,0.1825902335456475,15.0,4.0,132.0,22.0,0.6,1.0,1.1,27.0,41.0,119.0,151.0
gpt-4.1-mini,122,0.2221567472009428,15.0,7.0,113.0,19.0,0.6,1.0,1.1,21.0,41.0,116.0,135.0
