dataset,count,mean,median,std,min,max,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high
117,1,0.0792838874680307,0.0792838874680307,0.0,0.0792838874680307,0.0792838874680307,,,0.0792838874680307,0.0792838874680307
118,1,0.1211401425178147,0.1211401425178147,0.0,0.1211401425178147,0.1211401425178147,,,0.1211401425178147,0.1211401425178147
119,1,0.2558613659531091,0.2558613659531091,0.0,0.2558613659531091,0.2558613659531091,,,0.2558613659531091,0.2558613659531091
120,1,0.1416893732970027,0.1416893732970027,0.0,0.1416893732970027,0.1416893732970027,,,0.1416893732970027,0.1416893732970027
121,1,0.3236212278876171,0.3236212278876171,0.0,0.3236212278876171,0.3236212278876171,,,0.3236212278876171,0.3236212278876171
122,1,0.3470790378006873,0.3470790378006873,0.0,0.3470790378006873,0.3470790378006873,,,0.3470790378006873,0.3470790378006873
123,1,0.1816367265469061,0.1816367265469061,0.0,0.1816367265469061,0.1816367265469061,,,0.1816367265469061,0.1816367265469061
124,1,0.053030303030303,0.053030303030303,0.0,0.053030303030303,0.053030303030303,,,0.053030303030303,0.053030303030303
125,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
126,1,0.3131868131868132,0.3131868131868132,0.0,0.3131868131868132,0.3131868131868132,,,0.3131868131868132,0.3131868131868132
127,1,0.3865628042843232,0.3865628042843232,0.0,0.3865628042843232,0.3865628042843232,,,0.3865628042843232,0.3865628042843232
128,1,0.3157519600855309,0.3157519600855309,0.0,0.3157519600855309,0.3157519600855309,,,0.3157519600855309,0.3157519600855309
129,1,0.2920353982300885,0.2920353982300885,0.0,0.2920353982300885,0.2920353982300885,,,0.2920353982300885,0.2920353982300885
130,1,0.0653008962868117,0.0653008962868117,0.0,0.0653008962868117,0.0653008962868117,,,0.0653008962868117,0.0653008962868117
131,1,0.3532338308457711,0.3532338308457711,0.0,0.3532338308457711,0.3532338308457711,,,0.3532338308457711,0.3532338308457711
132,1,0.3190998268897864,0.3190998268897864,0.0,0.3190998268897864,0.3190998268897864,,,0.3190998268897864,0.3190998268897864
133,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
134,1,0.0425531914893617,0.0425531914893617,0.0,0.0425531914893617,0.0425531914893617,,,0.0425531914893617,0.0425531914893617
135,1,0.3266253869969041,0.3266253869969041,0.0,0.3266253869969041,0.3266253869969041,,,0.3266253869969041,0.3266253869969041
136,1,0.2892561983471074,0.2892561983471074,0.0,0.2892561983471074,0.2892561983471074,,,0.2892561983471074,0.2892561983471074
137,1,0.3665158371040724,0.3665158371040724,0.0,0.3665158371040724,0.3665158371040724,,,0.3665158371040724,0.3665158371040724
138,1,0.3886966551326413,0.3886966551326413,0.0,0.3886966551326413,0.3886966551326413,,,0.3886966551326413,0.3886966551326413
139,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
140,1,0.1521197007481296,0.1521197007481296,0.0,0.1521197007481296,0.1521197007481296,,,0.1521197007481296,0.1521197007481296
141,1,0.413265306122449,0.413265306122449,0.0,0.413265306122449,0.413265306122449,,,0.413265306122449,0.413265306122449
143,1,0.2555831265508685,0.2555831265508685,0.0,0.2555831265508685,0.2555831265508685,,,0.2555831265508685,0.2555831265508685
144,1,0.3607954545454545,0.3607954545454545,0.0,0.3607954545454545,0.3607954545454545,,,0.3607954545454545,0.3607954545454545
145,1,0.131578947368421,0.131578947368421,0.0,0.131578947368421,0.131578947368421,,,0.131578947368421,0.131578947368421
146,1,0.3306772908366533,0.3306772908366533,0.0,0.3306772908366533,0.3306772908366533,,,0.3306772908366533,0.3306772908366533
147,1,0.1257668711656441,0.1257668711656441,0.0,0.1257668711656441,0.1257668711656441,,,0.1257668711656441,0.1257668711656441
148,1,0.4475138121546961,0.4475138121546961,0.0,0.4475138121546961,0.4475138121546961,,,0.4475138121546961,0.4475138121546961
149,1,0.2857142857142856,0.2857142857142856,0.0,0.2857142857142856,0.2857142857142856,,,0.2857142857142856,0.2857142857142856
150,1,0.0377358490566037,0.0377358490566037,0.0,0.0377358490566037,0.0377358490566037,,,0.0377358490566037,0.0377358490566037
151,1,0.4301470588235294,0.4301470588235294,0.0,0.4301470588235294,0.4301470588235294,,,0.4301470588235294,0.4301470588235294
152,1,0.2385786802030456,0.2385786802030456,0.0,0.2385786802030456,0.2385786802030456,,,0.2385786802030456,0.2385786802030456
153,1,0.0960451977401129,0.0960451977401129,0.0,0.0960451977401129,0.0960451977401129,,,0.0960451977401129,0.0960451977401129
